t,value
"Dec 1, 2050",0.564
"Dec 2, 2050",0.0
"Dec 3, 2050",0.0
"Dec 4, 2050",0.243
"Dec 5, 2050",0.284
"Dec 6, 2050",2.729
"Dec 7, 2050",0.702
"Dec 8, 2050",0.782
"Dec 9, 2050",14.709
"Dec 10, 2050",17.925
"Dec 11, 2050",1.172
"Dec 12, 2050",2.985
"Dec 13, 2050",4.559
"Dec 14, 2050",5.695
"Dec 15, 2050",8.345
"Dec 16, 2050",2.52
"Dec 17, 2050",5.905
"Dec 18, 2050",2.81
"Dec 19, 2050",3.388
"Dec 20, 2050",6.2
"Dec 21, 2050",12.436
"Dec 22, 2050",13.044
"Dec 23, 2050",18.791
"Dec 24, 2050",12.147
"Dec 25, 2050",17.939
"Dec 26, 2050",22.404
"Dec 27, 2050",13.024
"Dec 28, 2050",13.43
"Dec 29, 2050",2.458
"Dec 30, 2050",12.631
"Dec 31, 2050",16.9
