P,ETP,Q
0.4,3.36,1.1
0,3.36,2.5
0.1,3.36,1.8
7,3.36,1.9
3.9,3.36,1.8
0,3.36,1.8
13.6,3.36,1.6
4.9,3.36,1.6
0.5,3.36,3.2
32,3.65,3.1
0,3.65,3.3
0,3.65,2.7
0,3.65,2.3
0,3.65,2.4
0,3.65,2.5
0,3.65,1.8
0,3.65,1.6
0,3.65,1.4
0,3.65,1.3
0,3.65,1.4
0,3.65,1.7
0,3.65,1.5
17.6,3.65,1.6
0.8,3.65,7.4
0,3.65,2.9
2.4,3.65,2.6
10.3,3.65,3.8
0,3.65,4.9
0.1,3.65,3.1
0.2,3.65,2.9
7.5,3.65,2.7
0,3.65,2.3
0,3.65,2
4.6,3.65,1.8
0,3.65,2.4
19.8,3.65,2.5
3.6,3.65,5.5
0.4,3.65,3.2
5.4,3.65,2.4
3,3.65,1.8
4.8,3.79,3.1
1.1,3.79,4.9
0,3.79,2.9
0.1,3.79,1.9
0,3.79,1.9
2.4,3.79,1.8
0.5,3.79,1.7
26.5,3.79,5.1
20.5,3.79,2.5
11.9,3.79,3.1
6,3.79,3.6
0.7,3.79,2.9
1.3,3.79,2.4
7,3.79,1.9
12.5,3.79,1.9
3.3,3.79,3.2
0.7,3.79,1.8
15.8,3.79,1.7
11.9,3.79,7.7
10.4,3.79,9
5,3.79,6.9
5.8,3.79,4.6
2.6,3.79,3.4
21.6,3.79,3.5
0.4,3.79,7.3
5.4,3.79,5.3
0,3.79,3.2
0,3.79,2.8
24,3.79,2.9
1.5,3.79,5.3
0.5,3.65,2.9
0,3.65,2.5
16.8,3.65,2.5
15.7,3.65,2.8
8,3.65,3.8
3.6,3.65,5.5
15.5,3.65,4.1
7.5,3.65,6.4
1.6,3.65,10.4
4.5,3.65,6.1
4.8,3.65,5.5
2.5,3.65,3.8
0,3.65,3.6
0,3.65,3.4
0,3.65,3.2
0,3.65,2.7
0,3.65,2.5
0.4,3.65,2.6
0.5,3.65,2.5
9.8,3.65,2.6
5.4,3.65,2.9
1.1,3.65,2.7
8.8,3.65,2.3
22.7,3.65,2.5
0,3.65,2.4
0,3.65,2.1
6.6,3.65,2.3
23,3.65,3.5
19,3.65,5.2
22.7,3.65,5.8
20.6,3.65,4.4
15.1,3.59,9.6
4.1,3.59,6.8
8.4,3.59,6.8
9.7,3.59,7
2.2,3.59,6.4
42.6,3.59,5.8
21,3.59,9.8
1.3,3.59,12.9
0,3.59,6.8
2,3.59,6.8
2.4,3.59,6.2
5.6,3.59,6.8
0,3.59,6.8
0,3.59,6.2
0,3.59,5.9
0,3.59,4.6
0.3,3.59,3.8
0,3.59,3.6
0,3.59,3.2
0,3.59,3.5
0.5,3.59,2.9
2.5,3.59,3.3
0.6,3.59,2.9
1.2,3.59,3.7
6.9,3.59,4.1
13.3,3.59,2.9
2.1,3.59,3.8
15.3,3.59,3.4
5,3.59,5.2
0,3.59,3.6
0,3.17,3.1
0,3.17,2.8
0,3.17,2.6
0,3.17,2.7
0,3.17,2.3
0,3.17,2
0,3.17,1.8
0.5,3.17,1.7
0,3.17,1.6
0,3.17,1.7
0,3.17,1.8
0.7,3.17,1.6
0.8,3.17,1.7
0,3.17,1.6
2,3.17,1.8
0.4,3.17,1.7
0,3.17,1.8
0,3.17,1.6
0.2,3.17,1.6
0.1,3.17,2
0,3.17,1.7
10.7,3.17,5.7
3.8,3.17,1.8
0,3.17,1.8
1.3,3.17,2.3
0,3.17,1.6
0,3.17,1.3
0,3.17,1.3
0,3.17,1.2
0,3.17,1.2
0,3.17,1.1
7,3.14,1.2
0,3.14,1.1
0,3.14,1.1
0,3.14,1.2
5.9,3.14,1.3
0,3.14,1.6
0,3.14,1.2
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.14,1
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0.3,3.14,0.8
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0,3.14,0.8
0,3.14,0.8
0,3.14,0.8
0,3.14,0.8
0,3.34,0.6
0,3.34,0.6
0,3.34,0.6
0,3.34,0.6
0,3.34,0.6
0,3.34,0.6
0,3.34,0.5
14.2,3.34,1.1
1.3,3.34,0.5
0,3.34,0.5
19.7,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
2.8,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0.5,3.34,0.5
5,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0.3,3.34,0.5
0,3.4,0.6
0,3.4,0.5
0.6,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
2.8,3.4,0.5
5.2,3.4,0.7
0,3.4,0.7
6.7,3.4,0.6
0,3.4,0.6
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
9.7,3.4,2.2
0,3.4,0.6
27.5,3.4,1.3
0,3.4,0.6
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
3.4,3.4,0.5
4,3.4,0.5
6.2,3.4,0.5
1.3,3.4,1.2
9.5,3.4,2.2
1.6,3.4,2.9
14.3,3.54,3.5
11.5,3.54,4.4
0,3.54,6.4
0,3.54,3.4
0,3.54,3
0,3.54,2.5
0,3.54,1.4
0,3.54,1.3
2.5,3.54,1.3
0,3.54,1.1
0,3.54,1.1
3.4,3.54,1.1
0,3.54,1.1
0,3.54,0.8
0,3.54,0.6
0,3.54,0.6
0,3.54,0.5
0,3.54,0.5
0,3.54,1.2
4.4,3.54,1.3
0,3.54,1.6
3,3.54,1.3
9.5,3.54,1.8
3.2,3.54,1.6
11.2,3.54,2.8
2.3,3.54,6.5
1,3.54,3.5
3.4,3.54,2.6
0.5,3.54,1.9
0.5,3.54,1.9
3.6,3.12,1.8
8.8,3.12,2.3
14.3,3.12,2.9
0.5,3.12,2.7
0,3.12,1.8
0,3.12,1.6
0.3,3.12,1.3
4.9,3.12,1.2
13.6,3.12,1.2
1.7,3.12,2.3
29.5,3.12,2.9
0.6,3.12,2.7
0,3.12,3
